query,notfound,_id,_score,symbol
124149,,124149,8.4894285,ANKRD26P1
84079,,84079,25.525448,ANKRD27
23243,,23243,26.31847,ANKRD28
147463,,147463,26.31847,ANKRD29
91074,,91074,26.31847,ANKRD30A
374860,,374860,26.31847,ANKRD30B
256006,,256006,26.31847,ANKRD31
84250,,84250,25.52669,SLF1
341405,,341405,26.31847,ANKRD33
284615,,284615,26.31847,ANKRD34A
340120,,340120,26.31847,ANKRD34B
390616,,390616,26.31847,ANKRD34C
148741,,148741,26.31847,ANKRD35
375248,,375248,26.31847,ANKRD36
57730,,57730,26.31847,ANKRD36B
84832,,84832,8.489829,ANKRD36BP1
353322,,353322,26.31847,ANKRD37
51239,,51239,26.31847,ANKRD39
91369,,91369,26.31847,ANKRD40
338699,,338699,26.31847,ANKRD42
134548,,134548,26.317228,SOWAHA
91526,,91526,26.317228,ANKRD44
339416,,339416,25.525448,ANKRD45
157567,,157567,26.31847,ANKRD46
54851,,54851,26.31847,ANKRD49
57182,,57182,26.31847,ANKRD50
283373,,283373,26.31847,ANKRD52
79998,,79998,26.31847,ANKRD53
129138,,129138,26.31847,ANKRD54
79722,,79722,25.52669,ANKRD55
345079,,345079,26.31847,SOWAHB
63926,,63926,26.31847,ANKEF1
65124,,65124,26.31847,SOWAHC
347454,,347454,26.31847,SOWAHD
22881,,22881,26.31847,ANKRD6
56311,,56311,26.31847,ANKRD7
122416,,122416,26.31847,ANKRD9
23294,,23294,26.31847,ANKS1A
56899,,56899,26.31847,ANKS1B
124401,,124401,26.31847,ANKS3
257629,,257629,26.31847,ANKS4B
203286,,203286,26.31847,ANKS6
55139,,55139,26.317228,ANKZF1
54443,,54443,25.525448,ANLN
55129,,55129,26.31847,ANO10
55107,,55107,26.31847,ANO1
57101,,57101,26.31847,ANO2
63982,,63982,26.31847,ANO3
121601,,121601,26.31847,ANO4
203859,,203859,26.31847,ANO5
196527,,196527,25.52669,ANO6
50636,,50636,25.52669,ANO7
57719,,57719,26.31847,ANO8
338440,,338440,25.52669,ANO9
8125,,8125,26.31847,ANP32A
10541,,10541,26.31847,ANP32B
23520,,23520,25.52669,ANP32C
23519,,23519,26.31847,ANP32D
81611,,81611,26.31847,ANP32E
290,,290,26.31847,ANPEP
84168,,84168,25.52669,ANTXR1
118429,,118429,26.31847,ANTXR2
195977,,195977,26.31847,ANTXRL
93550,,93550,26.31847,ZFAND4
11199,,11199,26.31847,ANXA10
311,,311,26.31847,ANXA11
301,,301,25.52669,ANXA1
312,,312,26.31847,ANXA13
302,,302,25.52669,ANXA2
303,,303,8.489829,ANXA2P1
304,,304,8.489829,ANXA2P2
305,,305,8.489829,ANXA2P3
306,,306,26.317228,ANXA3
307,,307,26.31847,ANXA4
308,,308,25.525448,ANXA5
309,,309,26.317228,ANXA6
310,,310,25.52669,ANXA7
653145,,653145,26.31847,ANXA8
728113,,728113,26.31847,ANXA8L1
244,True,,,
8416,,8416,25.52669,ANXA9
313,,313,26.31847,AOAH
314,,314,26.31847,AOC2
8639,,8639,26.31847,AOC3
316,,316,25.52669,AOX1
344454,,344454,8.489829,AOX2P
55435,,55435,26.31847,AP1AR
162,,162,25.52669,AP1B1
164,,164,26.31847,AP1G1
8906,,8906,26.31847,AP1G2
